count,stepCount,time,difference,warningDifference,activeCollisionCount,collisionStartCount,collisionEndCount,botCount,bodyCount,raycastt,clears
1,1,1664213584473,7380,7380,0,37,0,0,292,0,373801
2,4,1664213584547,39,74,36,0,3,1,293,0,373953
3,587,1664213594460,35,9913,37,0,4,1,293,0,423014
4,636,1664213595364,35,904,37,0,4,1,293,0,427484
5,720,1664213596962,37,1598,37,0,4,1,293,0,435381
6,858,1664213599461,35,2499,37,0,4,1,293,0,447748
7,1249,1664213607217,35,7756,37,0,4,1,293,0,486041
8,1295,1664213608088,35,871,37,0,4,1,293,0,490362
9,1330,1664213608851,38,763,37,0,4,1,293,0,494087
10,1366,1664213609723,37,872,37,0,4,1,293,0,498408
11,1861,1664213619308,35,9585,37,0,4,1,293,0,545790
12,1875,1664213619582,38,274,37,0,4,1,293,0,547131
13,2039,1664213622806,36,3224,37,0,4,1,293,0,563074
14,2140,1664213624685,36,1879,37,0,4,1,293,0,572312
15,2703,1664213635720,37,11035,37,0,4,1,293,0,626846
16,2915,1664213639907,35,4187,37,0,4,1,293,0,647557
17,2998,1664213641444,35,1537,37,0,4,1,293,0,655156
18,3086,1664213643192,35,1748,37,0,4,1,293,0,663798
19,3197,1664213645488,35,2296,37,0,4,1,293,0,675122
20,3274,1664213647051,36,1563,37,0,4,1,293,0,682870
21,3291,1664213647445,35,394,37,0,4,1,293,0,684807
22,3472,1664213650947,35,3502,37,0,4,1,293,0,702091
23,3489,1664213651309,35,362,37,0,4,1,293,0,703879
24,3697,1664213655384,35,4075,37,0,4,1,293,0,723994
25,3704,1664213655538,35,154,37,0,4,1,293,0,724739
26,3724,1664213655929,35,391,37,0,4,1,293,0,726676
27,4074,1664213662871,35,6942,37,0,4,1,293,0,760946
28,4080,1664213662992,35,121,37,0,4,1,293,0,761542
29,4101,1664213663417,35,425,37,0,4,1,293,0,763628
30,4203,1664213665472,35,2055,37,0,4,1,293,0,773760
31,4649,1664213674374,37,8902,37,0,4,1,293,0,817715
32,4715,1664213675767,38,1393,37,0,4,1,293,0,824569
33,4951,1664213680505,35,4738,37,0,4,1,293,0,847962
34,5281,1664213687283,35,6778,37,0,4,1,293,0,881487
35,5305,1664213687766,35,483,37,0,4,1,293,0,883871
36,5324,1664213688128,37,362,37,0,4,1,293,0,885659
37,5466,1664213690894,35,2766,37,0,4,1,293,0,899367
38,5664,1664213694636,35,3742,37,0,4,1,293,0,917843
39,5700,1664213695297,35,661,37,0,4,1,293,0,921121
40,5998,1664213701306,35,6009,37,0,4,1,293,0,950772
41,6044,1664213702240,36,934,37,0,4,1,293,0,955391
42,6146,1664213704264,38,2024,37,0,4,1,293,0,965374
43,6252,1664213706281,36,2017,37,0,4,1,293,0,975357
44,6423,1664213709448,35,3167,37,0,4,1,293,0,991002
45,6465,1664213710234,36,786,37,0,4,1,293,0,994876
46,6775,1664213715972,40,5738,37,0,4,1,293,0,1023186
47,6777,1664213716031,35,59,37,0,4,1,293,0,1023484
48,6894,1664213718440,36,2409,37,0,4,1,293,0,1035404
